"Model","F.Statistic","RSE","R.Squared","Delta.AIC","P.Value"
"Winter",6.1952,1.5937,0.0721,0,"<0.05"
"Forested",2.773,1.4265,0.0719,2934.2955,"<0.05"
"Developed",3.291,1.5795,0.0845,3425.4862,"<0.05"
"Summer",12.9796,1.4965,0.0666,7617.4046,"<0.05"
"All.Space.Time",10.7936,1.537,0.073,32466.6053,"<0.05"
