"Model","F.Statistic","RSE","R.Squared","Delta.AIC","P.Value"
"All.Species",10.7936,1.537,0.073,0,"<0.05"
"Migrants",17.6979,1.5515,0.0514,153.2251,"<0.05"
"Rural",48.3309,1.5558,0.0441,189.3065,"<0.05"
"Urban",12.6416,1.5647,0.035,328.8334,"<0.05"
"Residents",6.9435,1.5772,0.0195,495.6054,"<0.05"
