"Model","F.Statistic","RSE","R.Squared","Delta.AIC","P.Value"
"All.Species",10.6993,1.5374,0.0724,0,"<0.05"
"Migrants",18.099,1.5506,0.0525,134.3252,"<0.05"
"Rural",47.0426,1.5567,0.0429,194.9494,"<0.05"
"Urban",12.5691,1.5649,0.0348,324.2459,"<0.05"
"Residents",6.9241,1.5772,0.0195,489.4826,"<0.05"
