"","All.Space.Time","Summer","Winter","Forested","Developed"
"TUVU",NA,NA,NA,NA,-2.183
"MODO",NA,NA,NA,NA,3.696
"HOSP",NA,NA,NA,NA,-3.405
"OSPR",NA,NA,NA,NA,-1.942
"RTHA",NA,NA,NA,NA,-0.235
"RWBL",NA,NA,NA,NA,5.456
"PIWO",NA,NA,NA,NA,-1.492
"HAWO",NA,NA,NA,NA,2.35
"NOFL",NA,NA,NA,NA,-1.151
"EUST",NA,NA,NA,NA,1.106
