"","All.Space.Time","Summer","Winter","Forested","Developed"
"TUVU",0.796,NA,NA,NA,NA
"MODO",0.215,NA,NA,NA,NA
"HOSP",0.001,NA,NA,NA,NA
"OSPR",0.179,NA,NA,NA,NA
"RTHA",0,NA,NA,NA,NA
"RWBL",0.242,NA,NA,NA,NA
"PIWO",0,NA,NA,NA,NA
"HAWO",0.037,NA,NA,NA,NA
"NOFL",0,NA,NA,NA,NA
"EUST",0,NA,NA,NA,NA
