"Model","F.Statistic","RSE","R.Squared","Delta.AIC","P.Value"
"Winter",7.1545,1.5849,0.0824,0,"<0.05"
"Forested",2.6546,1.4287,0.069,2961.1611,"<0.05"
"Developed",2.8535,1.5884,0.0741,3473.7293,"<0.05"
"Summer",14.2417,1.4917,0.0726,7611.4349,"<0.05"
"All.Space.Time",10.6993,1.5374,0.0724,32492.132,"<0.05"
