"actual_city_town","year","season","week","saidi","date","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14"
"Abington",2016,"winter",1,0.213316700452206,2016-01-04,-2.60450626509469,-1.50203316410583,-1.18319417811737,-0.608417690850545,0.292631767248484,-0.423548075000773,0.0450024935840061,-0.510384825618203,0.218239713939916,0.407691070944549,0.196629598606528,-0.129786323558351,-0.0604496802412377,0.411241149773759
"Abington",2015,"summer",27,0.0845782005301731,2015-07-06,1.10257194537484,-2.09335690459831,0.76644983749236,0.447105396167066,0.255612813262396,-1.06043884430281,0.0396548499534014,-0.39944029989787,0.362446534521749,0.385164406203299,0.873950762451919,-0.113511721002198,-0.256979414896338,0.0405782412674611
"Adams",2018,"summer",25,0.0140992167101828,2018-06-18,1.41221374573595,3.3602286826808,0.406035735155547,-0.972191662308031,-0.734142967933664,-0.374825694553759,2.31479731019955,-0.292899709049833,-0.363040251254191,-0.47279916182147,-0.516695988747584,-1.10728397412222,-1.0313307230629,-0.258628021582787
"Beverly",2015,"summer",26,0.465560016779529,2015-06-29,2.11393299263136,0.179834294894516,-0.948577119738739,0.801445384044064,0.212871861905361,-0.966212235128276,-0.385193439277759,0.230730467375457,-0.162550392047742,-0.281771621142584,1.04479089759675,0.414537388342518,0.299517314913555,0.368257873713063
"Williamstown",2018,"spring",15,0.0600259852750108,2018-04-09,1.13920274892601,0.96703541746954,5.4037549428272,-4.26235943578904,-2.92379034123775,0.194605098493472,2.38772042233997,-0.655163098497113,-0.472844271845529,-0.399582229899967,0.443464118017058,0.452632924770703,-0.484841919410593,-0.23980282818344
"Williamstown",2018,"spring",18,0.59246427024686,2018-04-30,1.52598515247967,1.61444968297672,5.2252246327813,-4.21952168014699,-2.48680502461004,0.221779768233445,2.37051797519695,-0.395586819236949,-0.638894847195148,-0.367253193948406,0.438893923599346,0.362262049655882,0.062394511845402,-0.211263584616053
"Williamstown",2018,"spring",20,0.218276310090948,2018-05-14,1.56771670247209,2.13540636741152,5.22256723013972,-4.22017641077114,-2.12897751594087,0.0821662744444428,2.73603244691072,-0.513520781513161,-0.577808500835903,-0.287008775518233,0.349548721880686,-0.17594717520896,0.348990977904693,-0.350858023277588
"Williamstown",2017,"spring",21,1.60459073191858,2017-05-22,1.70879352403162,1.89310293053323,4.90758318191471,-3.77019510306209,-1.70108384781228,0.00685874833126825,2.4728871084739,-0.446001209034152,-0.442337155497935,-0.0508771834846647,0.135491425910445,-0.228664706179021,0.453892054779086,-0.290760891003311
"Williamstown",2017,"summer",23,0.356517973148549,2017-06-05,1.76070588120879,1.97299102805946,4.70654135940108,-3.52980362462251,-1.57062804577494,0.0932045293534817,2.51209631761585,-0.348355368663801,-0.445194917300946,0.141361586848586,0.211864133699866,-0.235316581365178,0.427505481954769,-0.163708848236783
"Williamstown",2015,"summer",24,0.788912949328714,2015-06-15,1.4678373951874,3.63215715614192,6.5436202428507,-5.64360542303913,-4.41048970593428,0.480618814388289,6.09724185829233,-0.78509065594218,-0.686864482061179,0.543950911355374,1.77257933603617,-0.826295419354727,0.648998629237347,-0.452059607990999
"Williamstown",2018,"summer",24,0.130186227804244,2018-06-11,1.5576709501585,2.16627143619273,4.59941156006683,-3.58995920372152,-1.7480291856644,0.162235770997432,2.36141509381437,-0.35863401233345,-0.552363820625583,0.260914649567739,0.428915809629744,-0.189624053638261,0.560540378219414,-0.078050573981219
"Williamstown",2016,"summer",25,0.337808575140754,2016-06-20,1.34086803643882,1.9670556640657,4.63943253790594,-3.30220855456707,-1.23593801733274,0.173698695357848,1.83863664596367,-0.386146734219096,-0.567060394544418,0.142108593248348,0.316295556256346,-0.343745119936359,0.304086505845793,-0.143543880397311
"Williamstown",2015,"summer",27,0.146556951061065,2015-07-06,1.31742790001488,3.26812363573995,6.04907524372187,-5.25671394612635,-3.9310063417521,0.827951858686744,5.84438589765993,-0.554963391349282,-0.510213324502344,0.658656600048006,1.76362399546253,-0.951537090649015,0.542154879591827,-0.256233067128389
"Williamstown",2015,"summer",29,0.412126461671719,2015-07-20,0.918360877998036,3.31587128622851,5.59761480597222,-5.03848954376009,-4.06968015482126,0.949236956891022,5.75655063098147,-0.578315056510045,-0.527527971093614,0.595260526482441,1.91228348316679,-0.981454441675478,0.797755892951045,-0.0111769861674524
"Beverly",2016,"summer",27,0.0330796428357404,2016-07-04,2.27519490473845,1.0061706401874,-0.463237156517711,1.32539166901742,0.00259095498276784,-1.24810964506857,-0.449098187686904,0.308160589547067,0.334787755156834,0.0388406673659889,0.743964261888267,-0.00930173097155564,0.85707778848404,0.343537758135917
"Williamstown",2016,"summer",29,0.101862278042443,2016-07-18,0.663001578337704,1.90422287441174,3.96293147581431,-2.94443268158539,-1.29277400298433,0.53612086354336,1.92968113364858,-0.465252572059873,-0.671161648179084,0.0258534958503217,0.788843326085984,-0.403672928247983,0.742811069310445,0.172766534537868
"Williamstown",2013,"summer",30,0.361715028150715,2013-07-29,0.917013818407178,3.69737541777445,5.58653064391797,-5.41261680878376,-5.42840654929455,1.13129944299159,7.19329216166776,-0.342688867701405,-0.213742764116309,0.132302581364117,2.26976891926641,-1.04866570935375,0.13582530292999,-0.0938663540892971
"Williamstown",2015,"summer",31,0.472932005197055,2015-08-03,0.460739927502652,3.47929099295204,4.99878701500602,-4.75217715039346,-4.19393241050681,1.0273705704284,5.65533991300093,-0.594250826416814,-0.593958213607434,0.633001419787017,1.87150700787481,-0.877362534226995,0.791474830108218,0.145073472084875
